TITLE: Bill of Materials
DATE: 04/14/2016
DESIGN: pc049a_db
TEMPLATE: /projects/HEP_Instrumentation/cad/tools/cadence_templates/spreadsheet-format_1per_line.bom
CALLOUT: 

Part Name,Ref Des,Qty,PART_NUMBER,PART_DESCRIPTION,OL_COMMENTS,KL_COMMENTS,PL_COMMENTS
"CAPN4I-100NF,16V,X7R,CKCA43",CN16,1,CKCA43X7R1C104M,?,?,?,?
"CAPN4I-100NF,16V,X7R,CKCA43",CN15,1,CKCA43X7R1C104M,?,?,?,?
"CAPN4I-100NF,16V,X7R,CKCA43",CN14,1,CKCA43X7R1C104M,?,?,?,?
"CAPN4I-100NF,16V,X7R,CKCA43",CN13,1,CKCA43X7R1C104M,?,?,?,?
"CAPN4I-100NF,16V,X7R,CKCA43",CN12,1,CKCA43X7R1C104M,?,?,?,?
"CAPN4I-100NF,16V,X7R,CKCA43",CN11,1,CKCA43X7R1C104M,?,?,?,?
"CAPN4I-100NF,16V,X7R,CKCA43",CN10,1,CKCA43X7R1C104M,?,?,?,?
"CAPN4I-100NF,16V,X7R,CKCA43",CN9,1,CKCA43X7R1C104M,?,?,?,?
"CAPN4I-100NF,16V,X7R,CKCA43",CN8,1,CKCA43X7R1C104M,?,?,?,?
"CAPN4I-100NF,16V,X7R,CKCA43",CN7,1,CKCA43X7R1C104M,?,?,?,?
"CAPN4I-100NF,16V,X7R,CKCA43",CN6,1,CKCA43X7R1C104M,?,?,?,?
"CAPN4I-100NF,16V,X7R,CKCA43",CN5,1,CKCA43X7R1C104M,?,?,?,?
"CAPN4I-100NF,16V,X7R,CKCA43",CN4,1,CKCA43X7R1C104M,?,?,?,?
"CAPN4I-100NF,16V,X7R,CKCA43",CN3,1,CKCA43X7R1C104M,?,?,?,?
"CAPN4I-100NF,16V,X7R,CKCA43",CN2,1,CKCA43X7R1C104M,?,?,?,?
"CAPN4I-100NF,16V,X7R,CKCA43",CN1,1,CKCA43X7R1C104M,?,?,?,?
COAX-PLEMO00D,PX62,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX61,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX54,1,EPA.00.250.NTN,?,?,?,?
COAX-PLEMO00D,PX53,1,EPA.00.250.NTN,?,?,?,?
